epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.2104,1.93624,3.52408,5.98864,1.68722,0.00031,0.01786,0.00018,5e-05,0.00041,0.02381,0.00028,8e-05,2.56116,4.19969,5.3785,2.42208,3.75e-05,3.75e-05,3.75e-05
2,17.0104,2.00636,3.93519,6.05671,1.77009,0.32619,0.02753,0.0217,0.0071,0.29962,0.04828,0.02428,0.01023,1.95337,3.19323,4.26727,1.75142,8.74913e-05,8.74913e-05,8.74913e-05
3,19.911,1.68099,3.01239,4.11758,1.47406,0.61623,0.21131,0.12543,0.08091,0.62912,0.20536,0.11498,0.06961,1.53941,2.97659,3.52132,1.3926,0.000137473,0.000137473,0.000137473
4,22.8089,1.51363,2.72859,3.33969,1.32546,0.64386,0.31027,0.16218,0.08252,0.63529,0.29382,0.14137,0.0774,1.60097,2.82325,4.64472,1.4551,0.000187444,0.000187444,0.000187444
5,25.6394,1.42785,2.519,2.79897,1.25923,0.38065,0.30283,0.14463,0.07083,0.37811,0.29911,0.1404,0.06089,1.59338,2.81889,3.25067,1.42025,0.000237406,0.000237406,0.000237406
6,28.4083,1.2916,2.41833,2.50569,1.20919,0.6948,0.1756,0.24277,0.16607,0.70739,0.16369,0.23688,0.14045,1.45165,2.67329,3.15447,1.31867,0.000287358,0.000287358,0.000287358
7,31.2328,1.25645,2.33733,2.37016,1.2272,0.28801,0.5558,0.30158,0.14137,0.28036,0.58507,0.32159,0.15241,1.59857,2.83261,2.76049,1.505,0.0003373,0.0003373,0.0003373
8,34.0065,1.1842,2.06829,2.20634,1.22367,0.66929,0.33418,0.19888,0.10016,0.66529,0.32822,0.2004,0.10399,1.49289,2.6574,2.6385,1.4578,0.000387231,0.000387231,0.000387231
9,36.7703,1.15356,2.13758,1.9356,1.13992,0.71078,0.30729,0.23381,0.11983,0.70928,0.33854,0.23736,0.1168,1.62098,2.90742,2.33973,1.56077,0.000437154,0.000437154,0.000437154
10,39.5124,1.17234,2.14881,1.90005,1.146,0.43044,0.30878,0.20187,0.10082,0.14989,0.32068,0.20772,0.10229,1.6759,2.80846,2.26854,1.53245,0.000487066,0.000487066,0.000487066
11,42.2403,1.12603,1.94417,1.75402,1.1701,0.20218,0.4462,0.2714,0.13868,0.19183,0.42355,0.24568,0.11399,1.57832,2.95631,2.47871,1.54731,0.000536968,0.000536968,0.000536968
12,44.9911,1.13044,1.93766,1.61914,1.11542,0.24994,0.43656,0.29298,0.1328,0.2516,0.45974,0.29422,0.12095,1.60407,3.14746,2.16725,1.5497,0.00058686,0.00058686,0.00058686
13,47.7103,1.21688,2.0559,1.79381,1.14371,0.37176,0.29836,0.2246,0.10939,0.35201,0.27679,0.21973,0.08884,1.75794,2.98615,2.35308,1.58879,0.000636743,0.000636743,0.000636743
14,50.431,1.17417,2.05258,1.5674,1.11914,0.41019,0.34524,0.26858,0.13601,0.37579,0.33929,0.26392,0.09407,1.74785,3.21044,2.43345,1.59269,0.000686615,0.000686615,0.000686615
15,53.2129,1.1443,2.10322,1.47135,1.13914,0.36158,0.32979,0.26363,0.14342,0.35877,0.32143,0.25237,0.10922,1.62351,3.33107,2.29433,1.50486,0.000736478,0.000736478,0.000736478
16,55.9327,1.03165,1.83557,1.33629,1.06321,0.38988,0.32366,0.27586,0.14581,0.60464,0.23212,0.27655,0.13305,1.63372,3.368,2.22812,1.50345,0.000786331,0.000786331,0.000786331
17,58.6666,1.06968,1.97936,1.37575,1.08229,0.33319,0.46549,0.35085,0.18506,0.48879,0.30615,0.33775,0.17649,1.62415,3.86496,2.23656,1.55123,0.000836173,0.000836173,0.000836173
18,61.467,1.10038,2.02959,1.38986,1.11776,0.45798,0.32589,0.33349,0.17822,0.38079,0.40464,0.36703,0.1653,1.72164,4.11981,2.18999,1.70261,0.000886006,0.000886006,0.000886006
19,64.2652,1.08109,1.89078,1.30667,1.09378,0.35561,0.42188,0.32411,0.16692,0.3621,0.44122,0.33299,0.16163,1.61814,4.2076,2.21813,1.6531,0.000935829,0.000935829,0.000935829
20,67.0371,1.05773,1.84081,1.16031,1.07623,0.24551,0.51414,0.28441,0.14452,0.23561,0.50595,0.27146,0.13415,1.76357,4.44355,2.32852,1.78827,0.000985643,0.000985643,0.000985643
21,69.8026,1.01895,1.90876,1.29466,1.06609,0.2644,0.39713,0.26801,0.15181,0.28096,0.41022,0.27502,0.12722,1.52186,3.50601,2.81406,1.51644,0.00103545,0.00103545,0.00103545
22,72.6362,1.11061,1.92214,1.33196,1.06813,0.23887,0.45312,0.30567,0.15387,0.21938,0.47247,0.28954,0.1106,1.63319,4.06403,2.70024,1.5778,0.00108524,0.00108524,0.00108524
23,75.4144,1.04095,1.98308,1.20128,1.03228,0.26441,0.35938,0.26836,0.14433,0.265,0.35938,0.26858,0.10939,1.57412,3.7356,2.30219,1.55142,0.00113502,0.00113502,0.00113502
24,78.1685,1.03507,1.81973,1.22028,1.06343,0.19012,0.43266,0.21182,0.11763,0.18978,0.42118,0.21118,0.08977,1.52936,3.50536,2.2187,1.55305,0.0011848,0.0011848,0.0011848
25,80.942,1.02406,1.90454,1.29107,1.06107,0.18469,0.34463,0.21854,0.1258,0.18075,0.33527,0.21754,0.10626,1.51186,3.90805,2.84471,1.50863,0.00123456,0.00123456,0.00123456
26,83.7065,1.01441,1.765,1.17705,1.07705,0.16575,0.44879,0.22101,0.14238,0.17007,0.4607,0.22575,0.11845,1.63867,3.90463,2.3777,1.65574,0.00124691,0.00124691,0.00124691
27,86.4702,1.05192,1.81198,1.15225,1.06915,0.62227,0.23505,0.28156,0.15782,0.6106,0.22936,0.27441,0.11355,1.67574,3.6372,2.16294,1.70757,0.00124678,0.00124678,0.00124678
28,89.2525,1.04155,1.8108,1.11958,1.04773,0.55723,0.32073,0.293,0.14066,0.54588,0.30288,0.27889,0.10134,1.86366,3.92803,2.11343,1.95909,0.00124666,0.00124666,0.00124666
29,92.0385,1.11868,1.84841,1.25197,1.14123,0.26989,0.37642,0.23526,0.12308,0.26496,0.37248,0.22943,0.09637,1.67857,3.75948,2.24048,1.6846,0.00124654,0.00124654,0.00124654
30,94.8493,1.1071,2.05844,1.12867,1.08835,0.29284,0.34598,0.24176,0.11185,0.39913,0.23586,0.20576,0.09063,1.74004,4.06724,2.41396,1.67364,0.00124641,0.00124641,0.00124641
31,97.6242,1.01548,1.76407,1.12249,1.06144,0.52191,0.28356,0.22046,0.10827,0.51482,0.2657,0.19966,0.08104,1.72492,4.24387,2.58218,1.70009,0.00124629,0.00124629,0.00124629
32,100.419,0.99972,1.68134,1.08199,1.04279,0.55952,0.31399,0.32155,0.15404,0.53011,0.27083,0.27625,0.11962,1.65544,4.12954,2.63379,1.6208,0.00124616,0.00124616,0.00124616
33,103.211,0.98926,1.69525,1.00889,1.0468,0.53308,0.33557,0.32324,0.15441,0.52998,0.32961,0.29685,0.1213,1.67944,4.27224,3.23096,1.70667,0.00124604,0.00124604,0.00124604
34,106.008,0.94449,1.66534,1.01353,1.00367,0.29122,0.4256,0.26481,0.14295,0.27541,0.38244,0.24221,0.12267,1.68123,4.17492,4.07687,1.68392,0.00124592,0.00124592,0.00124592
35,108.825,0.99951,1.73027,0.97707,1.0461,0.168,0.42801,0.23873,0.11066,0.16826,0.43737,0.23217,0.09344,1.61794,3.72554,3.49065,1.65911,0.00124579,0.00124579,0.00124579
36,111.658,0.9945,1.7408,0.99758,1.0392,0.27413,0.4561,0.30132,0.15962,0.26799,0.4442,0.28424,0.11678,1.55825,3.72962,2.33086,1.61102,0.00124567,0.00124567,0.00124567
37,114.47,0.98459,1.71862,1.12507,1.05611,0.59203,0.25744,0.253,0.13139,0.59579,0.26711,0.25011,0.10283,1.52561,3.6207,2.27955,1.52922,0.00124555,0.00124555,0.00124555
38,117.246,0.93798,1.63761,0.94787,1.00151,0.42283,0.32738,0.25727,0.13031,0.42655,0.36458,0.26489,0.10376,1.54386,3.6272,2.98052,1.51115,0.00124542,0.00124542,0.00124542
39,120.029,0.99353,1.60959,1.00791,1.04332,0.17858,0.5811,0.31718,0.16792,0.17377,0.55414,0.31289,0.14115,1.51302,3.97194,3.06568,1.5587,0.0012453,0.0012453,0.0012453
40,122.816,0.89351,1.63156,0.91793,1.01988,0.21189,0.57292,0.30024,0.16168,0.21116,0.56696,0.28532,0.13429,1.52005,4.0045,3.44634,1.52563,0.00124517,0.00124517,0.00124517
41,125.608,0.97384,1.68031,0.95121,1.02581,0.45606,0.38462,0.27841,0.16017,0.479,0.41462,0.29172,0.104,1.5868,4.10877,4.08841,1.59544,0.00124505,0.00124505,0.00124505
42,128.419,0.90376,1.68206,0.88705,0.99774,0.45125,0.34369,0.25127,0.14702,0.4385,0.33408,0.25097,0.10938,1.6604,4.14702,3.27784,1.68523,0.00124493,0.00124493,0.00124493
43,131.208,0.87335,1.51999,0.82011,0.99952,0.6014,0.19974,0.25593,0.14841,0.59508,0.19048,0.252,0.12156,1.59586,4.21645,2.47436,1.64532,0.0012448,0.0012448,0.0012448
44,134.013,0.82452,1.50183,0.794,0.98162,0.29139,0.3244,0.28001,0.15567,0.29139,0.3244,0.26046,0.12504,1.63783,4.31847,2.2641,1.74505,0.00124468,0.00124468,0.00124468
45,136.784,0.87405,1.65644,0.91403,0.99004,0.274,0.32812,0.2633,0.1409,0.26104,0.30655,0.25479,0.12956,1.69776,3.868,2.15927,1.76993,0.00124456,0.00124456,0.00124456
46,139.569,0.95062,1.68419,0.9101,1.04582,0.22146,0.32217,0.26314,0.14313,0.23139,0.34747,0.26846,0.13025,1.65961,3.38122,2.31428,1.67938,0.00124443,0.00124443,0.00124443
47,142.357,0.88564,1.54719,0.80041,0.98406,0.18844,0.43378,0.24329,0.13624,0.19042,0.53125,0.25129,0.10911,1.61478,3.0424,2.52299,1.59535,0.00124431,0.00124431,0.00124431
48,145.14,0.88608,1.63894,0.83661,0.9763,0.36638,0.56851,0.3388,0.18384,0.38353,0.5657,0.34092,0.16085,1.62098,3.00446,1.93538,1.56464,0.00124418,0.00124418,0.00124418
49,147.95,0.85098,1.52663,0.75578,0.96172,0.43247,0.41443,0.39185,0.20033,0.41125,0.49159,0.40202,0.20442,1.62775,3.03212,1.91787,1.55923,0.00124406,0.00124406,0.00124406
50,150.75,0.87204,1.55215,0.86804,0.97537,0.34384,0.49777,0.34124,0.1764,0.3476,0.5329,0.36465,0.1695,1.74737,2.95515,1.96286,1.66106,0.00124394,0.00124394,0.00124394
51,153.562,0.86977,1.57374,0.89498,0.9653,0.37,0.49554,0.38749,0.19282,0.34552,0.46801,0.35473,0.16251,1.71532,2.97365,2.08299,1.60147,0.00124381,0.00124381,0.00124381
52,156.367,0.91634,1.6003,0.78895,1.01729,0.415,0.45128,0.3518,0.17468,0.41061,0.44533,0.3398,0.17016,1.65765,3.10332,2.40961,1.58161,0.00124369,0.00124369,0.00124369
53,159.153,0.84932,1.42674,0.84195,0.98675,0.30967,0.50933,0.35795,0.18454,0.33278,0.52192,0.36284,0.17642,1.67979,3.02832,2.24062,1.57495,0.00124357,0.00124357,0.00124357
54,161.956,0.84797,1.56279,0.77555,0.98283,0.42704,0.43607,0.38185,0.20601,0.44213,0.44865,0.38586,0.18637,1.64056,2.94753,2.08699,1.5694,0.00124344,0.00124344,0.00124344
55,164.74,0.82838,1.41847,0.80336,0.96609,0.4075,0.61048,0.43735,0.22354,0.38863,0.5737,0.42563,0.22792,1.68227,3.03363,1.7483,1.6172,0.00124332,0.00124332,0.00124332
56,167.576,0.81934,1.48396,0.70148,0.95205,0.37085,0.65104,0.41441,0.2114,0.3597,0.63914,0.4147,0.2163,1.65379,3.04384,1.74228,1.52833,0.00124319,0.00124319,0.00124319
57,170.393,0.82268,1.45198,0.69644,0.93552,0.39096,0.45817,0.39926,0.20872,0.4261,0.37939,0.38936,0.20374,1.59285,3.04815,1.80963,1.49121,0.00124307,0.00124307,0.00124307
58,173.174,0.80448,1.3712,0.71386,0.95548,0.45014,0.4375,0.39969,0.20257,0.49162,0.43263,0.39425,0.2085,1.54356,2.92959,1.79254,1.51038,0.00124295,0.00124295,0.00124295
