epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.1096,1.98387,3.79298,6.0562,1.74341,0.00114,0.11031,0.0011,0.00037,0.00098,0.10183,0.00107,0.00041,2.46451,4.24954,5.03917,2.2348,3.75e-05,3.75e-05,3.75e-05
2,16.7572,1.92225,3.68919,6.69003,1.75543,0.41289,0.10949,0.09861,0.0593,0.38883,0.10949,0.0865,0.04975,1.57149,2.96544,3.33764,1.49853,8.74913e-05,8.74913e-05,8.74913e-05
3,19.5694,1.52322,2.87617,3.91608,1.32445,0.41909,0.18699,0.16449,0.07545,0.42383,0.19546,0.18028,0.08142,1.68897,2.75186,3.07773,1.57464,0.000137473,0.000137473,0.000137473
4,22.3473,1.48691,2.71109,3.04983,1.30732,0.3616,0.33172,0.35079,0.19247,0.34721,0.35488,0.34535,0.14941,1.31279,2.48693,2.09124,1.25679,0.000187444,0.000187444,0.000187444
5,25.071,1.31048,2.51908,2.56932,1.29808,0.3795,0.38218,0.3577,0.23624,0.39806,0.41082,0.37663,0.14401,1.3517,2.73867,2.18562,1.29296,0.000237406,0.000237406,0.000237406
6,27.7645,1.23167,2.30541,2.55887,1.21539,0.34042,0.36273,0.31281,0.18801,0.34929,0.38145,0.32832,0.14973,1.38871,2.5084,2.01558,1.3242,0.000287358,0.000287358,0.000287358
7,30.4203,1.25483,2.30507,2.44726,1.15717,0.47978,0.41222,0.35668,0.22655,0.48428,0.4084,0.36167,0.17645,1.40605,2.47829,1.99497,1.3497,0.0003373,0.0003373,0.0003373
8,33.0809,1.14031,2.18209,2.14041,1.14451,0.42305,0.37745,0.36888,0.21637,0.42272,0.38168,0.3689,0.18332,1.45367,2.69454,1.82339,1.40917,0.000387231,0.000387231,0.000387231
9,35.7112,1.21127,2.24152,2.11819,1.14618,0.57649,0.34569,0.3207,0.17837,0.55091,0.3659,0.32389,0.15507,1.40984,2.59144,1.75495,1.29638,0.000437154,0.000437154,0.000437154
10,38.3688,1.25991,2.2165,1.92476,1.16025,0.59642,0.37218,0.3404,0.18555,0.2885,0.42305,0.33184,0.14301,1.51826,2.9896,1.84001,1.41946,0.000487066,0.000487066,0.000487066
11,40.9948,1.2889,2.11704,1.92818,1.19528,0.25575,0.48173,0.26764,0.16041,0.26177,0.50219,0.265,0.11172,1.5313,3.32866,1.95026,1.36783,0.000536968,0.000536968,0.000536968
12,43.6424,1.27633,2.03281,1.87043,1.16758,0.52056,0.45315,0.32386,0.18191,0.50097,0.38479,0.28866,0.12422,1.50826,3.53359,1.69907,1.37952,0.00058686,0.00058686,0.00058686
13,46.2702,1.20661,2.15401,1.83373,1.16701,0.44223,0.3584,0.26173,0.15186,0.48267,0.21523,0.21882,0.09101,1.4646,3.64795,2.8916,1.40096,0.000636743,0.000636743,0.000636743
14,48.863,1.22281,2.08241,1.68422,1.13253,0.45498,0.28972,0.21199,0.1133,0.44579,0.27752,0.17923,0.06754,1.59867,3.9116,3.40841,1.47113,0.000686615,0.000686615,0.000686615
15,51.4938,1.15011,1.88215,1.56006,1.12364,0.17677,0.4882,0.27419,0.14345,0.50464,0.21417,0.20914,0.0904,1.64089,4.55581,2.26881,1.57211,0.000736478,0.000736478,0.000736478
16,54.0831,1.13848,1.97487,1.51313,1.13343,0.53747,0.33848,0.34812,0.20074,0.50381,0.30593,0.27728,0.11469,1.48448,4.067,2.46859,1.44739,0.000786331,0.000786331,0.000786331
17,56.6852,1.1383,1.94971,1.51794,1.14228,0.32446,0.51513,0.35755,0.22852,0.31751,0.48254,0.34408,0.15123,1.43534,3.42222,1.84517,1.42759,0.000836173,0.000836173,0.000836173
18,59.3384,1.15575,2.02488,1.38261,1.0881,0.23663,0.58163,0.33671,0.17927,0.22136,0.56046,0.31317,0.13783,1.51879,3.55697,1.78242,1.45511,0.000886006,0.000886006,0.000886006
19,61.947,1.14225,1.94599,1.30548,1.14017,0.26965,0.56173,0.38678,0.20982,0.25753,0.52402,0.34855,0.13613,1.56545,3.99912,1.78483,1.47818,0.000935829,0.000935829,0.000935829
20,64.5507,1.12831,1.83405,1.29053,1.13582,0.20355,0.43426,0.3128,0.17137,0.19397,0.39275,0.28572,0.09529,1.65551,5.22749,2.19696,1.54865,0.000985643,0.000985643,0.000985643
21,67.1908,1.12168,1.9597,1.25795,1.09795,0.48176,0.22779,0.19411,0.10274,0.45293,0.20835,0.16605,0.05218,1.63069,4.23805,2.78677,1.50826,0.00103545,0.00103545,0.00103545
22,69.8051,1.06849,1.93491,1.21952,1.06619,0.22566,0.34782,0.27876,0.15828,0.21431,0.32452,0.25919,0.1015,1.68757,4.19354,2.00945,1.59795,0.00108524,0.00108524,0.00108524
23,72.4472,1.14651,1.90119,1.30067,1.10246,0.18025,0.41109,0.24944,0.13327,0.15845,0.34814,0.21754,0.08257,1.64557,4.19295,2.09994,1.53937,0.00113502,0.00113502,0.00113502
24,75.0746,1.10285,1.98621,1.37027,1.07201,0.1576,0.3421,0.17976,0.09255,0.14674,0.32436,0.17054,0.06378,1.63877,3.77291,2.25464,1.51226,0.0011848,0.0011848,0.0011848
25,77.7507,1.08006,1.88339,1.28424,1.08672,0.47163,0.26304,0.23356,0.12029,0.46995,0.23288,0.21778,0.08054,1.62555,3.85696,2.50277,1.5475,0.00123456,0.00123456,0.00123456
26,80.3841,1.04406,1.75777,1.21735,1.07697,0.43114,0.32245,0.24322,0.1233,0.6144,0.19377,0.22154,0.08751,1.64773,3.87446,2.67143,1.53909,0.00124691,0.00124691,0.00124691
27,83.0377,1.07983,1.74647,1.15948,1.10186,0.33979,0.32925,0.32413,0.16641,0.24661,0.42919,0.29669,0.11099,1.67041,3.83783,2.00026,1.5837,0.00124678,0.00124678,0.00124678
