epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.2764,1.8664,3.45589,6.04965,1.58767,0.27908,0.02273,0.0079,0.00536,0.27908,0.02273,0.00876,0.00402,2.0754,3.72173,5.18242,1.91353,0.0007,0.0007,0.0007
2,21.1995,1.57637,2.98501,4.44082,1.41802,0.42346,0.24719,0.15343,0.09787,0.37536,0.30021,0.14702,0.08956,1.27638,2.41261,4.03274,1.32701,0.00149985,0.00149985,0.00149985
3,26.0666,1.43144,2.44153,3.14838,1.31376,0.58264,0.32858,0.2832,0.19482,0.57786,0.32182,0.26867,0.17612,1.20659,2.26953,3.08854,1.25623,0.00229954,0.00229954,0.00229954
4,30.9015,1.319,2.33666,2.55244,1.22479,0.48381,0.33855,0.22151,0.14231,0.47021,0.31989,0.20569,0.12562,1.28638,2.16025,2.43928,1.26707,0.00309908,0.00309908,0.00309908
5,35.7132,1.19254,2.01105,2.13228,1.13695,0.42461,0.39825,0.19288,0.11816,0.42699,0.405,0.19471,0.10969,1.32591,2.10645,2.98474,1.24779,0.00389846,0.00389846,0.00389846
6,40.5243,1.16156,2.01412,2.05746,1.10308,0.5487,0.36051,0.35108,0.22351,0.55375,0.37187,0.36265,0.21316,1.27226,2.00937,2.17566,1.17076,0.00469767,0.00469767,0.00469767
7,45.3706,1.20408,2.08003,1.83484,1.13003,0.50799,0.4106,0.28879,0.17217,0.50799,0.4106,0.29463,0.16884,1.37057,2.05978,2.32047,1.21974,0.00549673,0.00549673,0.00549673
8,50.2241,1.24395,2.03538,1.86566,1.15747,0.37563,0.47554,0.38559,0.24671,0.28646,0.43109,0.35945,0.21638,1.21401,2.22007,2.79955,1.17477,0.00629563,0.00629563,0.00629563
9,55.0762,1.14884,1.92028,1.92454,1.0807,0.55548,0.37609,0.36916,0.2263,0.55089,0.36472,0.35773,0.20495,1.29274,2.24449,2.30451,1.18512,0.00709438,0.00709438,0.00709438
10,59.9007,1.17952,1.90728,1.79303,1.10348,0.15947,0.49954,0.23297,0.13087,0.15646,0.48574,0.22391,0.1202,1.3748,2.20258,2.81156,1.27798,0.00789296,0.00789296,0.00789296
