epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.6092,1.95073,3.64881,6.43866,1.67636,0.04883,0.03148,0.0108,0.00801,0.04317,0.03473,0.01223,0.00653,2.16991,3.63284,5.56477,2.00388,0.0006,0.0006,0.0006
2,22.0874,1.79684,3.19275,4.94729,1.57351,0.12945,0.19034,0.13717,0.0711,0.13947,0.20605,0.14998,0.07674,1.5062,2.53544,3.54893,1.39148,0.00129987,0.00129987,0.00129987
3,26.6059,1.37624,2.52318,3.567,1.27505,0.53317,0.31791,0.2209,0.11882,0.54488,0.3243,0.24222,0.11683,1.32661,2.37409,2.83982,1.26049,0.0019996,0.0019996,0.0019996
4,31.0731,1.34938,2.42,2.74664,1.25841,0.53466,0.38361,0.29266,0.16137,0.5309,0.39426,0.28888,0.14331,1.28555,2.21025,2.53536,1.21644,0.0026992,0.0026992,0.0026992
5,35.5126,1.25395,2.188,2.3569,1.19204,0.47336,0.35656,0.24709,0.12832,0.46994,0.35589,0.24243,0.1149,1.35831,2.14322,2.31242,1.22827,0.00339865,0.00339865,0.00339865
6,39.9127,1.20224,1.96229,2.2075,1.14049,0.21564,0.29348,0.23819,0.13598,0.22399,0.32297,0.25054,0.12129,1.37541,2.10591,2.64339,1.21689,0.00409797,0.00409797,0.00409797
7,44.3241,1.16778,2.02388,1.94881,1.13048,0.32824,0.40794,0.27612,0.15697,0.31488,0.40119,0.26263,0.12414,1.39811,2.3407,2.85649,1.28805,0.00479715,0.00479715,0.00479715
8,48.6859,1.17336,1.95137,1.77556,1.11105,0.38664,0.40952,0.33638,0.18946,0.38664,0.40952,0.33368,0.17553,1.41652,2.07658,2.5262,1.23433,0.00549619,0.00549619,0.00549619
9,53.0999,1.20205,1.86055,1.65277,1.10616,0.33289,0.4669,0.35336,0.20478,0.37736,0.48097,0.37024,0.19622,1.22933,1.99422,1.91756,1.16487,0.00619509,0.00619509,0.00619509
10,57.4469,1.07011,1.77543,1.72367,1.07527,0.50861,0.42521,0.32113,0.15981,0.50448,0.40498,0.29757,0.14624,1.37917,2.1813,2.43322,1.24296,0.00689385,0.00689385,0.00689385
11,61.8218,1.11015,1.98173,1.74086,1.0752,0.51812,0.38367,0.31538,0.17333,0.52515,0.3998,0.32138,0.15723,1.32369,2.15558,1.98331,1.19702,0.00759248,0.00759248,0.00759248
12,66.2855,1.20778,1.96567,1.79916,1.07647,0.30834,0.48871,0.31879,0.16998,0.30904,0.48012,0.31453,0.16283,1.39015,2.07965,2.75111,1.26522,0.00829096,0.00829096,0.00829096
13,70.6765,1.19048,1.98988,2.02799,1.11191,0.3167,0.53939,0.33466,0.17694,0.32798,0.56923,0.36738,0.17524,1.37949,2.1801,2.23362,1.27542,0.00898931,0.00898931,0.00898931
14,75.08,1.14536,1.85736,1.77161,1.07937,0.34408,0.46696,0.29161,0.16905,0.3366,0.44365,0.29752,0.13796,1.38611,2.2834,2.46767,1.27134,0.00968752,0.00968752,0.00968752
15,79.523,1.12126,1.91123,1.7078,1.05097,0.47995,0.39461,0.26415,0.13053,0.49307,0.39766,0.27908,0.11238,1.54026,2.40385,3.13243,1.32979,0.00998614,0.00998614,0.00998614
16,83.9387,1.1958,2.00322,1.68661,1.10103,0.42296,0.32555,0.28407,0.12826,0.29331,0.37418,0.2404,0.09603,1.6108,2.9388,2.80996,1.31009,0.00998515,0.00998515,0.00998515
17,88.3349,1.18021,2.05021,1.55973,1.06079,0.50906,0.3461,0.30008,0.1656,0.54564,0.39523,0.33324,0.16074,1.45232,2.28331,2.60876,1.2638,0.00998416,0.00998416,0.00998416
18,92.7527,1.12785,1.85931,1.41573,1.06079,0.3625,0.41872,0.3133,0.1777,0.378,0.45208,0.34291,0.17857,1.48078,2.11536,2.31583,1.31824,0.00998317,0.00998317,0.00998317
19,97.1643,1.10505,1.83629,1.65911,1.02971,0.58134,0.3589,0.33316,0.18726,0.56608,0.35592,0.34506,0.17764,1.45539,2.24813,2.63285,1.282,0.00998218,0.00998218,0.00998218
20,101.583,1.24818,1.85348,1.62726,1.08425,0.3533,0.40343,0.30405,0.16333,0.33711,0.4146,0.2989,0.1333,1.6433,3.0729,2.37025,1.42221,0.00998119,0.00998119,0.00998119
21,106.047,1.13909,1.83569,1.36734,1.03282,0.32253,0.4226,0.2882,0.15315,0.35297,0.45476,0.31526,0.15307,1.51763,2.27332,3.41532,1.32038,0.0099802,0.0099802,0.0099802
22,110.495,1.20175,1.73644,1.46055,1.06628,0.3203,0.29651,0.30488,0.16521,0.32128,0.29081,0.30357,0.15522,1.5519,2.28753,2.37081,1.38301,0.00997921,0.00997921,0.00997921
23,114.968,1.15982,1.73356,1.35622,1.06197,0.53753,0.32999,0.27564,0.1502,0.55388,0.34688,0.29411,0.17112,1.56252,2.42668,3.01705,1.3882,0.00997822,0.00997822,0.00997822
24,119.464,1.1147,1.76148,1.32508,1.01602,0.52692,0.31002,0.32685,0.17168,0.54875,0.35955,0.35315,0.17236,1.48185,2.22304,2.71819,1.29893,0.00997723,0.00997723,0.00997723
25,123.939,1.10545,1.74963,1.25795,1.02031,0.38123,0.42027,0.33243,0.18457,0.39614,0.42695,0.35003,0.15395,1.42564,2.56563,2.67712,1.28507,0.00997624,0.00997624,0.00997624
26,128.422,1.03265,1.63976,1.23121,0.9991,0.40125,0.43764,0.35912,0.19981,0.42384,0.42152,0.38134,0.19117,1.44402,2.4194,2.90281,1.33694,0.00997525,0.00997525,0.00997525
27,132.884,1.09888,1.623,1.22251,1.04805,0.40063,0.40239,0.33352,0.18148,0.39297,0.3901,0.33405,0.17677,1.45199,2.41249,4.00391,1.30319,0.00997426,0.00997426,0.00997426
28,137.395,1.10383,1.65072,1.20744,1.05854,0.27718,0.4236,0.3183,0.18647,0.29052,0.4539,0.31946,0.16825,1.43125,2.38593,2.34989,1.29225,0.00997327,0.00997327,0.00997327
