epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,88.7314,1.09307,1.83703,1.07175,1.11313,0.43744,0.40103,0.30822,0.14821,0.41501,0.38983,0.29874,0.16276,2.03017,4.86773,2.95937,1.58823,0.00124654,0.00124654,0.00124654
30,91.3293,0.98822,1.59079,1.155,1.06015,0.24795,0.47407,0.26046,0.13862,0.24947,0.47679,0.26573,0.12022,1.75713,4.32424,2.07684,1.44899,0.00124641,0.00124641,0.00124641
31,93.9403,1.01339,1.605,1.20677,1.2061,0.53936,0.248,0.22031,0.11633,0.27073,0.30092,0.21427,0.10113,1.56786,3.99694,2.53432,1.3401,0.00124629,0.00124629,0.00124629
32,96.6015,0.93387,1.57754,0.98882,1.04141,0.30636,0.36788,0.25503,0.12704,0.30334,0.36788,0.24661,0.10609,1.46805,5.23924,2.53291,1.28816,0.00124616,0.00124616,0.00124616
33,99.197,1.03671,1.91815,1.30064,1.14013,0.54649,0.28421,0.25404,0.1266,0.54709,0.28904,0.2503,0.09181,1.41135,3.8949,2.08822,1.3006,0.00124604,0.00124604,0.00124604
34,101.798,0.99555,1.71832,1.09609,1.06417,0.52047,0.23104,0.18338,0.10334,0.48755,0.21613,0.16314,0.06925,1.47255,3.83106,2.06481,1.30695,0.00124592,0.00124592,0.00124592
35,104.369,0.90665,1.50473,0.97378,1.0194,0.21684,0.33857,0.24718,0.12967,0.21285,0.31642,0.23536,0.11206,1.70666,3.30823,1.93109,1.32348,0.00124579,0.00124579,0.00124579
36,106.955,1.13609,1.7128,1.14079,1.16738,0.27117,0.42002,0.29482,0.1445,0.28467,0.39978,0.29141,0.1346,1.66941,3.06804,1.77129,1.3137,0.00124567,0.00124567,0.00124567
37,109.527,0.94328,1.78463,0.92658,1.01305,0.28564,0.3318,0.32624,0.16564,0.26383,0.4123,0.3291,0.15174,1.69154,3.31764,1.84614,1.32452,0.00124555,0.00124555,0.00124555
38,112.079,0.936,1.54786,0.96433,1.07088,0.52802,0.4178,0.40429,0.21468,0.32819,0.48225,0.39636,0.19746,1.64089,3.25439,1.60023,1.32421,0.00124542,0.00124542,0.00124542
39,114.691,0.90042,1.639,0.83489,1.02257,0.47071,0.44502,0.36493,0.18978,0.47906,0.4516,0.35468,0.16974,1.64521,3.72222,1.82144,1.31172,0.0012453,0.0012453,0.0012453
40,117.262,0.9805,1.68442,0.88929,1.01223,0.33717,0.40246,0.28276,0.1395,0.31756,0.39069,0.26628,0.13702,1.74928,4.20207,2.38769,1.33225,0.00124517,0.00124517,0.00124517
41,119.83,0.95082,1.74799,2.59528,1.03229,0.23547,0.44272,0.22446,0.10652,0.17532,0.50973,0.20088,0.1006,1.80647,4.63511,2.73358,1.33466,0.00124505,0.00124505,0.00124505
42,122.392,1.03425,1.62354,0.94055,1.01839,0.19394,0.45525,0.21986,0.12393,0.18159,0.41039,0.20027,0.10756,1.94891,4.29754,2.6708,1.36325,0.00124493,0.00124493,0.00124493
43,124.976,0.91916,1.66314,1.03612,1.00341,0.25077,0.3158,0.25968,0.14879,0.23927,0.29604,0.23479,0.11149,1.86603,4.0999,2.74134,1.3234,0.0012448,0.0012448,0.0012448
44,127.56,0.92063,1.61448,1.03435,1.00136,0.2174,0.27601,0.21237,0.12299,0.19023,0.26951,0.19709,0.096,1.76257,3.91279,4.35759,1.27812,0.00124468,0.00124468,0.00124468
45,130.127,0.93614,1.70465,0.89323,1.07221,0.40558,0.29381,0.13562,0.06871,0.40611,0.279,0.12734,0.05965,1.32457,3.48829,8.52948,1.24249,0.00124456,0.00124456,0.00124456
46,132.702,0.94137,1.6256,1.07688,0.99069,0.19717,0.38908,0.16816,0.09206,0.19457,0.37056,0.16444,0.07431,1.60501,3.75616,8.33916,1.31303,0.00124443,0.00124443,0.00124443
47,135.266,0.915,1.57764,0.99198,0.98184,0.2175,0.31739,0.16651,0.09112,0.21701,0.31184,0.15371,0.07466,1.7903,3.8124,6.74469,1.45102,0.00124431,0.00124431,0.00124431
48,137.831,1.11069,2.02214,1.01863,1.15675,0.15158,0.30697,0.16127,0.0757,0.13913,0.33035,0.15365,0.08012,2.15622,4.65924,6.15327,1.66373,0.00124418,0.00124418,0.00124418
49,140.384,0.94962,1.54093,0.8278,1.01024,0.32288,0.37855,0.22628,0.09872,0.32977,0.38396,0.21618,0.12444,1.88959,4.52314,4.47217,1.43655,0.00124406,0.00124406,0.00124406
50,142.95,0.94452,1.70583,0.89346,0.99689,0.33279,0.45558,0.28063,0.13236,0.36222,0.37723,0.25498,0.13266,1.84234,3.84509,3.555,1.40801,0.00124394,0.00124394,0.00124394
51,145.528,1.00336,1.66858,0.94992,1.06723,0.37,0.37106,0.26082,0.13297,0.37111,0.37728,0.24861,0.11632,2.01144,3.73468,2.94001,1.53138,0.00124381,0.00124381,0.00124381
52,148.083,0.97791,1.78953,0.83555,1.03626,0.3703,0.35608,0.24438,0.12624,0.37785,0.33849,0.24818,0.11672,2.26643,3.83803,2.4,1.73103,0.00124369,0.00124369,0.00124369
53,150.64,0.96354,1.6426,0.8561,1.08498,0.45728,0.32923,0.29348,0.15939,0.43428,0.31626,0.27603,0.15376,2.05588,3.32655,2.15203,1.65543,0.00124357,0.00124357,0.00124357
54,153.219,0.93512,1.57101,0.92085,0.97279,0.28869,0.64817,0.37928,0.20736,0.2741,0.59735,0.3608,0.1793,1.66036,2.9126,2.52553,1.33442,0.00124344,0.00124344,0.00124344
55,155.768,0.94259,1.67648,0.82121,1.01285,0.31434,0.43127,0.34537,0.17012,0.31534,0.42026,0.33947,0.1686,1.36774,2.77906,2.1976,1.28059,0.00124332,0.00124332,0.00124332
56,158.35,0.93624,1.64619,0.93003,1.03007,0.28236,0.53439,0.3267,0.15626,0.27707,0.51454,0.32974,0.17534,1.55574,2.89698,2.1567,1.30315,0.00124319,0.00124319,0.00124319
57,160.899,0.87608,1.56622,0.80575,0.98696,0.35235,0.43072,0.34106,0.18505,0.36685,0.3883,0.33334,0.16254,1.80636,3.28651,2.99904,1.46034,0.00124307,0.00124307,0.00124307
58,163.462,0.86583,1.50642,0.76532,0.97775,0.45599,0.41044,0.40895,0.21785,0.45065,0.40581,0.40129,0.18919,1.86364,4.15513,5.21947,1.58151,0.00124295,0.00124295,0.00124295
59,165.996,0.96676,1.6821,0.91416,1.04688,0.38367,0.50065,0.39399,0.19202,0.38371,0.50302,0.38308,0.18507,2.00254,4.61367,2.30676,1.63482,0.00124282,0.00124282,0.00124282
60,168.552,0.85381,1.45533,0.78989,0.94533,0.44275,0.60776,0.41506,0.19682,0.43615,0.58822,0.40031,0.17642,1.95273,4.16529,1.63158,1.57649,0.0012427,0.0012427,0.0012427
61,171.105,0.87595,1.37769,0.80107,0.97709,0.5476,0.39644,0.42959,0.21273,0.53728,0.38549,0.39333,0.18836,1.81515,3.94286,1.54601,1.43377,0.00124257,0.00124257,0.00124257
62,173.648,0.95516,1.87797,0.80904,0.98213,0.28787,0.53303,0.35629,0.1922,0.28039,0.51915,0.33612,0.16465,1.6726,3.5489,1.87101,1.34744,0.00124245,0.00124245,0.00124245
63,176.196,0.89619,1.47223,0.81573,0.99096,0.31243,0.31953,0.25642,0.14656,0.30854,0.31028,0.25293,0.12242,1.69252,3.93244,2.10238,1.32047,0.00124233,0.00124233,0.00124233
64,178.759,0.91259,1.39367,0.83307,1.02514,0.22103,0.34385,0.25068,0.13748,0.21793,0.33459,0.23499,0.11786,1.80352,3.89793,1.84122,1.34257,0.0012422,0.0012422,0.0012422
65,181.321,0.78423,1.34528,0.72217,0.95455,0.22117,0.42128,0.26244,0.15388,0.24986,0.40544,0.2552,0.12212,1.82462,3.62793,2.10712,1.37339,0.00124208,0.00124208,0.00124208
66,183.878,0.88197,1.53197,0.79113,0.97776,0.20977,0.41925,0.26181,0.14805,0.21678,0.4149,0.2558,0.12247,1.82949,3.66246,2.02348,1.39515,0.00124196,0.00124196,0.00124196
67,186.426,0.816,1.33267,0.75055,0.98722,0.26775,0.52824,0.33006,0.19432,0.26631,0.52684,0.3268,0.18198,1.87851,3.72136,1.84548,1.41207,0.00124183,0.00124183,0.00124183
68,189,0.83113,1.43654,0.79056,0.97323,0.3087,0.45017,0.32959,0.19299,0.32209,0.4796,0.3457,0.18725,1.73002,3.49439,2.41962,1.38304,0.00124171,0.00124171,0.00124171
69,191.546,0.78022,1.31449,0.70469,0.93001,0.32851,0.36674,0.3092,0.17813,0.33226,0.37137,0.30727,0.17672,2.11643,3.92083,2.87743,1.66024,0.00124158,0.00124158,0.00124158
70,194.116,0.80489,1.37463,0.66679,0.95429,0.21982,0.4373,0.30326,0.17462,0.22432,0.45026,0.30362,0.16915,2.31886,4.37695,2.63506,1.88058,0.00124146,0.00124146,0.00124146
71,196.677,0.79519,1.31024,0.7424,0.96884,0.21138,0.47956,0.24372,0.13324,0.21303,0.47225,0.24176,0.12099,2.22504,4.57912,2.60244,1.7978,0.00124134,0.00124134,0.00124134
72,199.243,0.77306,1.38397,0.69779,0.93531,0.30519,0.41007,0.25864,0.13297,0.28862,0.47815,0.26275,0.12354,1.9707,4.04575,2.74384,1.54538,0.00124121,0.00124121,0.00124121
73,201.814,0.88196,1.36101,0.71084,0.98118,0.22107,0.39653,0.21737,0.11491,0.30704,0.35739,0.22075,0.09592,1.78876,4.52615,2.29479,1.37094,0.00124109,0.00124109,0.00124109
74,204.403,0.79917,1.33833,0.66512,0.95347,0.35037,0.29497,0.27124,0.14896,0.35334,0.2996,0.26626,0.14969,2.04028,3.92028,1.97304,1.55181,0.00124097,0.00124097,0.00124097
75,206.97,0.79568,1.427,0.66189,0.92962,0.27283,0.4282,0.25998,0.13599,0.27338,0.40924,0.25168,0.13976,2.23679,3.32642,1.84116,1.75532,0.00124084,0.00124084,0.00124084
76,209.529,0.82047,1.46934,0.72687,0.98382,0.32204,0.45095,0.29248,0.14588,0.3096,0.42099,0.29084,0.14309,2.20903,3.23326,1.93031,1.70259,0.00124072,0.00124072,0.00124072
77,212.103,0.76459,1.35828,0.67559,0.94883,0.51477,0.39385,0.35343,0.18081,0.51109,0.38727,0.34133,0.18452,2.02983,3.24718,2.15774,1.54249,0.00124059,0.00124059,0.00124059
78,214.665,0.82015,1.36462,0.8127,0.96401,0.48362,0.32504,0.33221,0.18755,0.47847,0.32102,0.32274,0.17678,1.79187,3.46507,2.18437,1.40419,0.00124047,0.00124047,0.00124047
79,217.228,0.77948,1.33497,0.64276,0.99476,0.29723,0.45715,0.33749,0.18616,0.3321,0.40028,0.32613,0.17176,1.71039,3.54116,2.12288,1.37428,0.00124035,0.00124035,0.00124035
80,219.783,0.81942,1.49216,0.76841,0.98058,0.39774,0.46074,0.343,0.18786,0.37175,0.44935,0.32374,0.17373,1.88568,3.35165,2.07629,1.44155,0.00124022,0.00124022,0.00124022
81,222.342,0.77452,1.31513,0.68134,0.93532,0.46453,0.47362,0.38403,0.20868,0.45364,0.45778,0.35588,0.18899,1.8489,3.40657,1.93173,1.41142,0.0012401,0.0012401,0.0012401
82,224.9,0.79168,1.37141,0.62587,0.94358,0.40609,0.58015,0.42056,0.20972,0.38442,0.53912,0.39089,0.20509,1.8392,3.3877,1.94802,1.35857,0.00123998,0.00123998,0.00123998
83,227.525,0.75361,1.30583,0.63433,0.91431,0.48178,0.4633,0.36262,0.19051,0.48967,0.40692,0.32618,0.17342,1.78816,3.10571,2.05199,1.33498,0.00123985,0.00123985,0.00123985
84,230.115,0.80091,1.41527,0.63413,0.94562,0.35879,0.41651,0.33418,0.18695,0.34515,0.4055,0.30474,0.16441,1.64866,3.06473,2.37428,1.32846,0.00123973,0.00123973,0.00123973
85,232.671,0.68607,1.33612,0.606,0.90525,0.53201,0.304,0.31607,0.17731,0.30252,0.40253,0.2856,0.14403,1.60591,3.07519,2.27948,1.32458,0.0012396,0.0012396,0.0012396
86,235.229,0.77588,1.43107,0.79014,1.02786,0.34517,0.40818,0.3297,0.20357,0.33459,0.39059,0.31176,0.1514,1.49629,3.11935,1.90342,1.27031,0.00123948,0.00123948,0.00123948
