epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,157.135,0.9636,1.47146,0.78068,0.99943,0.62207,0.62304,0.62832,0.40032,0.64162,0.63197,0.63458,0.41855,1.32637,2.19838,1.55894,1.31168,0.00997129,0.00997129,0.00997129
31,162.001,0.95705,1.38301,0.75319,0.99589,0.62991,0.6058,0.60299,0.36813,0.65911,0.64161,0.62652,0.40683,1.37145,2.0202,1.39303,1.32064,0.0099703,0.0099703,0.0099703
32,166.855,1.02395,1.56293,0.82818,1.0444,0.67197,0.51176,0.63888,0.40435,0.67714,0.59674,0.66311,0.4304,1.2209,2.09387,1.42596,1.24713,0.00996931,0.00996931,0.00996931
33,171.74,0.94477,1.42025,0.76112,0.98386,0.64974,0.66223,0.58348,0.35779,0.66169,0.67085,0.59696,0.37822,1.34883,2.07174,1.6312,1.28782,0.00996832,0.00996832,0.00996832
34,176.637,0.89357,1.31403,0.68896,0.98034,0.73202,0.60825,0.6735,0.45123,0.74324,0.61475,0.68427,0.44775,1.20359,1.93118,1.37199,1.2203,0.00996733,0.00996733,0.00996733
35,181.549,0.96676,1.40139,0.74769,1.00796,0.74695,0.51724,0.66908,0.46286,0.76028,0.52586,0.69163,0.46876,1.12686,1.92052,1.32111,1.16925,0.00996634,0.00996634,0.00996634
36,186.461,0.91581,1.30366,0.71738,0.97595,0.61574,0.6826,0.59483,0.37507,0.6293,0.69122,0.5927,0.39545,1.27883,1.91844,1.30544,1.27179,0.00996535,0.00996535,0.00996535
37,191.333,0.89295,1.31114,0.74443,0.97164,0.68281,0.62304,0.64971,0.42576,0.69263,0.63166,0.66018,0.43234,1.17964,2.06185,1.38675,1.23498,0.00996436,0.00996436,0.00996436
38,196.234,0.94743,1.41701,0.78261,0.9973,0.65967,0.59734,0.64244,0.41047,0.6713,0.61458,0.67103,0.40098,1.36106,2.20224,1.36397,1.37446,0.00996337,0.00996337,0.00996337
39,201.112,0.91928,1.28374,0.72096,0.99057,0.56412,0.53762,0.52501,0.33728,0.54283,0.52038,0.50226,0.30374,1.38284,2.32447,1.52694,1.40257,0.00996238,0.00996238,0.00996238
40,205.97,0.91793,1.26245,0.74838,0.9947,0.70195,0.45044,0.55522,0.36248,0.71639,0.45889,0.56718,0.39502,1.3344,2.29609,1.62842,1.28642,0.00996139,0.00996139,0.00996139
41,210.841,0.8917,1.27804,0.77917,0.9786,0.63136,0.57336,0.60172,0.38105,0.62309,0.56474,0.58436,0.3684,1.31814,2.39816,1.48215,1.27992,0.0099604,0.0099604,0.0099604
42,215.728,0.91636,1.26654,0.75467,0.9659,0.60708,0.54624,0.6001,0.38819,0.581,0.53508,0.58066,0.3559,1.3953,2.46193,1.43091,1.32642,0.00995941,0.00995941,0.00995941
43,220.613,0.84079,1.24183,0.68276,0.93184,0.50683,0.65191,0.60136,0.37476,0.60774,0.55799,0.59016,0.38107,1.36729,2.25059,1.47831,1.30569,0.00995842,0.00995842,0.00995842
