epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.5682,1.93879,3.50587,6.25391,1.69726,0.06044,0.03,0.0118,0.00894,0.06085,0.03,0.0117,0.00684,2.30674,3.92978,6.89596,2.08519,0.0006,0.0006,0.0006
2,22.027,1.76554,3.22296,5.26571,1.5729,0.10282,0.13556,0.08384,0.04981,0.11818,0.12167,0.08243,0.04862,1.54341,2.9942,4.58973,1.41247,0.00129987,0.00129987,0.00129987
3,26.5964,1.39377,2.55251,3.27675,1.30875,0.127,0.34588,0.15084,0.09639,0.1259,0.33199,0.14251,0.08382,1.3358,2.5067,3.54868,1.30839,0.0019996,0.0019996,0.0019996
4,31.105,1.34114,2.37178,2.66682,1.25597,0.42907,0.31041,0.17578,0.10493,0.42037,0.33521,0.16861,0.10188,1.31019,2.3334,2.82998,1.23274,0.0026992,0.0026992,0.0026992
5,35.5964,1.18119,2.16269,2.22148,1.17162,0.52875,0.30323,0.26288,0.14854,0.52399,0.30323,0.26482,0.1326,1.24733,2.25014,2.66383,1.17778,0.00339865,0.00339865,0.00339865
6,40.0534,1.1614,1.98235,2.0577,1.09838,0.28701,0.38786,0.29034,0.16343,0.28727,0.39563,0.29955,0.1532,1.26065,2.12068,2.68067,1.15075,0.00409797,0.00409797,0.00409797
7,44.5461,1.12104,1.95292,1.88918,1.08264,0.26382,0.3473,0.20587,0.10105,0.21077,0.39393,0.21131,0.09905,1.37861,2.13534,2.77481,1.22548,0.00479715,0.00479715,0.00479715
8,48.9564,1.20415,2.0701,1.91441,1.13321,0.48233,0.31175,0.2429,0.13168,0.48012,0.30667,0.24818,0.11567,1.31529,2.11084,6.12875,1.20619,0.00549619,0.00549619,0.00549619
9,53.3859,1.0708,1.83694,1.94867,1.0808,0.2277,0.56467,0.27841,0.14899,0.23181,0.52211,0.27455,0.13614,1.26432,2.30739,4.0429,1.15564,0.00619509,0.00619509,0.00619509
10,57.7808,1.19562,2.03471,1.78866,1.10089,0.26018,0.50067,0.25183,0.12377,0.29968,0.482,0.26669,0.10031,1.58069,2.79267,2.29073,1.28382,0.00689385,0.00689385,0.00689385
